,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Time_Start,Time_End,Humpback
9726,42.98884529,3.642385013,7.278488916,6.940130561,5.960611712,-2.503255718,-3.380511953,-0.822586261,-4.833364863,-3.629561911,-2.873419363,0.143988706,-1.95853283,972.5,972.6,0
9727,42.29390255,0.149800146,-0.074054468,5.099602645,9.354008574,4.895740505,2.338692424,-3.531396287,-6.546832211,2.439772528,3.738462566,2.054127343,-0.326892965,972.6,972.7,0
9728,41.22669584,1.14824974,4.724166419,6.274838289,6.569665757,-0.516331489,-2.537672205,-2.949539036,-4.430672082,0.36522339,1.783796656,4.20227525,1.829857667,972.7,972.8,0
9729,41.3860198,0.019176408,5.420826734,6.889044096,5.628348316,-2.015699704,-3.021392604,-1.235600374,-4.181630533,-0.262346793,1.326295681,6.208968358,-0.570582371,972.8,972.9,0
9730,40.74274982,0.423566598,4.504092973,7.125338593,8.548668499,0.925331677,-1.808802663,-1.899683591,-4.183144655,-2.013986138,-0.104102449,3.866735531,0.997862141,972.9,973,1
9731,42.5704765,1.481907314,4.03963211,9.269827162,9.860990179,-1.779008003,-3.08530778,-0.321388336,-6.691493962,-5.824344828,-3.111265475,0.502662447,-1.873333485,973,973.1,1
9732,40.2564102,-0.390382802,3.656080511,6.449645589,7.369961283,0.920362963,-1.133236596,-0.621880577,-2.408449713,1.443031902,2.038777506,3.983545651,-0.183905957,973.1,973.2,1
9733,40.57348767,0.143617084,3.1085973,5.317177883,6.20525337,-2.63182722,-4.003940347,-2.12566698,-5.013761285,-0.317059591,2.060246428,3.692980378,-1.669068892,973.2,973.3,1
9734,44.2763356,2.395496748,0.803785442,2.516176671,6.391292342,-0.458572032,-4.221021281,-4.054617242,-4.506476871,-0.362747143,-2.37405817,-1.072051595,-1.704472292,973.3,973.4,1
9735,40.9909108,-0.316722802,1.689486412,5.575420327,7.216024187,-1.908676793,-3.052378183,0.272895658,-1.879143052,0.355250046,0.677516966,3.854153481,1.47207464,973.4,973.5,1
9736,43.22517142,1.651957808,2.638425382,5.748430555,4.715080725,-5.280660807,-4.083415473,-2.07083751,-5.987272214,-1.611744431,0.299308475,2.069124799,1.617266471,973.5,973.6,1
9737,41.62467406,1.023115047,3.89221895,5.918422791,7.425551982,-0.744438933,-2.463459623,-1.441174708,-6.080756387,-4.004441222,-1.843374813,3.250627466,0.077108674,973.6,973.7,1
